type,storm,discount,climate,hazard,cost,benefit,ratio,net,ecosystem,net_ecosystem
CCA,50,5,total,erosion,1153.096384,382.5635117,0.331770628,-770.5328723,0,-770.5328723
NBA,50,5,total,erosion,1017.348462,315.1928246,0.309817959,-702.1556374,42.42704321,-659.7285942
CCA,75,5,total,erosion,1153.096384,382.5635117,0.331770628,-770.5328723,0,-770.5328723
NBA,75,5,total,erosion,1017.348462,315.1928246,0.309817959,-702.1556374,42.42704321,-659.7285942
CCA,100,5,total,erosion,1153.096384,382.5635117,0.331770628,-770.5328723,0,-770.5328723
NBA,100,5,total,erosion,1017.348462,315.1928246,0.309817959,-702.1556374,42.42704321,-659.7285942
CCA,200,5,total,erosion,1153.096384,382.5635117,0.331770628,-770.5328723,0,-770.5328723
NBA,200,5,total,erosion,1017.348462,315.1928246,0.309817959,-702.1556374,42.42704321,-659.7285942
CCA,20,6,2030,erosion,1153.096384,169.725695,0.147191247,-983.370689,0,-983.370689
NBA,20,6,2030,erosion,1017.348462,138.8135297,0.136446395,-878.5349323,34.93587381,-843.5990585
CCA,50,6,2030,erosion,1153.096384,169.725695,0.147191247,-983.370689,0,-983.370689
NBA,50,6,2030,erosion,1017.348462,138.8135297,0.136446395,-878.5349323,34.93587381,-843.5990585
CCA,75,6,2030,erosion,1153.096384,169.725695,0.147191247,-983.370689,0,-983.370689
NBA,75,6,2030,erosion,1017.348462,138.8135297,0.136446395,-878.5349323,34.93587381,-843.5990585
CCA,100,6,2030,erosion,1153.096384,169.725695,0.147191247,-983.370689,0,-983.370689
NBA,100,6,2030,erosion,1017.348462,138.8135297,0.136446395,-878.5349323,34.93587381,-843.5990585
CCA,200,6,2030,erosion,1153.096384,169.725695,0.147191247,-983.370689,0,-983.370689
NBA,200,6,2030,erosion,1017.348462,138.8135297,0.136446395,-878.5349323,34.93587381,-843.5990585
CCA,20,6,2060,erosion,1153.096384,50.42697867,0.043731798,-1102.669405,0,-1102.669405
NBA,20,6,2060,erosion,1017.348462,41.83269142,0.041119334,-975.5157706,34.93587381,-940.5798968
CCA,50,6,2060,erosion,1153.096384,50.42697867,0.043731798,-1102.669405,0,-1102.669405
NBA,50,6,2060,erosion,1017.348462,41.83269142,0.041119334,-975.5157706,34.93587381,-940.5798968
CCA,75,6,2060,erosion,1153.096384,50.42697867,0.043731798,-1102.669405,0,-1102.669405
NBA,75,6,2060,erosion,1017.348462,41.83269142,0.041119334,-975.5157706,34.93587381,-940.5798968
CCA,100,6,2060,erosion,1153.096384,50.42697867,0.043731798,-1102.669405,0,-1102.669405
NBA,100,6,2060,erosion,1017.348462,41.83269142,0.041119334,-975.5157706,34.93587381,-940.5798968
CCA,200,6,2060,erosion,1153.096384,50.42697867,0.043731798,-1102.669405,0,-1102.669405
NBA,200,6,2060,erosion,1017.348462,41.83269142,0.041119334,-975.5157706,34.93587381,-940.5798968
CCA,20,6,2100,erosion,1153.096384,5.202417362,0.004511693,-1147.893967,0,-1147.893967
NBA,20,6,2100,erosion,1017.348462,4.332837929,0.004258952,-1013.015624,34.93587381,-978.0797503
CCA,50,6,2100,erosion,1153.096384,5.202417362,0.004511693,-1147.893967,0,-1147.893967
NBA,50,6,2100,erosion,1017.348462,4.332837929,0.004258952,-1013.015624,34.93587381,-978.0797503
CCA,75,6,2100,erosion,1153.096384,5.202417362,0.004511693,-1147.893967,0,-1147.893967
NBA,75,6,2100,erosion,1017.348462,4.332837929,0.004258952,-1013.015624,34.93587381,-978.0797503
CCA,100,6,2100,erosion,1153.096384,5.202417362,0.004511693,-1147.893967,0,-1147.893967
NBA,100,6,2100,erosion,1017.348462,4.332837929,0.004258952,-1013.015624,34.93587381,-978.0797503
CCA,200,6,2100,erosion,1153.096384,5.202417362,0.004511693,-1147.893967,0,-1147.893967
NBA,200,6,2100,erosion,1017.348462,4.332837929,0.004258952,-1013.015624,34.93587381,-978.0797503
CCA,20,6,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,20,6,Current,erosion,1017.348462,0,0,-1017.348462,34.93587381,-982.4125882
CCA,50,6,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,50,6,Current,erosion,1017.348462,0,0,-1017.348462,34.93587381,-982.4125882
CCA,75,6,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,75,6,Current,erosion,1017.348462,0,0,-1017.348462,34.93587381,-982.4125882
CCA,100,6,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,100,6,Current,erosion,1017.348462,0,0,-1017.348462,34.93587381,-982.4125882
CCA,200,6,Current,erosion,1153.096384,0,0,-1153.096384,0,-1153.096384
NBA,200,6,Current,erosion,1017.348462,0,0,-1017.348462,34.93587381,-982.4125882
CCA,20,6,total,erosion,1153.096384,339.8437777,0.294722785,-813.2526063,0,-813.2526063
NBA,20,6,total,erosion,1017.348462,279.6401285,0.27487153,-737.7083335,34.93587381,-702.7724597
CCA,50,6,total,erosion,1153.096384,339.8437777,0.294722785,-813.2526063,0,-813.2526063
NBA,50,6,total,erosion,1017.348462,279.6401285,0.27487153,-737.7083335,34.93587381,-702.7724597
CCA,75,6,total,erosion,1153.096384,339.8437777,0.294722785,-813.2526063,0,-813.2526063
NBA,75,6,total,erosion,1017.348462,279.6401285,0.27487153,-737.7083335,34.93587381,-702.7724597
CCA,100,6,total,erosion,1153.096384,339.8437777,0.294722785,-813.2526063,0,-813.2526063
NBA,100,6,total,erosion,1017.348462,279.6401285,0.27487153,-737.7083335,34.93587381,-702.7724597
CCA,200,6,total,erosion,1153.096384,339.8437777,0.294722785,-813.2526063,0,-813.2526063
NBA,200,6,total,erosion,1017.348462,279.6401285,0.27487153,-737.7083335,34.93587381,-702.7724597
CCA,20,0,2030,storm,1153.096384,0.751299148,0.000651549,-1152.345085,0,-1152.345085
NBA,20,0,2030,storm,1017.348462,0.134518013,0.000132224,-1017.213944,214.4664538,-802.7474902
CCA,50,0,2030,storm,1153.096384,0.300519659,0.00026062,-1152.795864,0,-1152.795864
NBA,50,0,2030,storm,1017.348462,0.053807205,5.28897E-05,-1017.294655,214.4664538,-802.828201
CCA,75,0,2030,storm,1153.096384,0.20034644,0.000173746,-1152.896038,0,-1152.896038
NBA,75,0,2030,storm,1017.348462,0.03587147,3.52598E-05,-1017.312591,214.4664538,-802.8461367
CCA,100,0,2030,storm,1153.096384,0.15025983,0.00013031,-1152.946124,0,-1152.946124
NBA,100,0,2030,storm,1017.348462,0.026903603,2.64448E-05,-1017.321558,214.4664538,-802.8551046
CCA,200,0,2030,storm,1153.096384,0.075129915,6.51549E-05,-1153.021254,0,-1153.021254
NBA,200,0,2030,storm,1017.348462,0.013451801,1.32224E-05,-1017.33501,214.4664538,-802.8685564
CCA,20,0,2060,storm,1153.096384,3.436610679,0.002980333,-1149.659773,0,-1149.659773
NBA,20,0,2060,storm,1017.348462,0.915726232,0.000900111,-1016.432736,214.4664538,-801.9662819
CCA,50,0,2060,storm,1153.096384,1.374644272,0.001192133,-1151.72174,0,-1151.72174
NBA,50,0,2060,storm,1017.348462,0.366290493,0.000360044,-1016.982172,214.4664538,-802.5157177
CCA,75,0,2060,storm,1153.096384,0.916429514,0.000794755,-1152.179954,0,-1152.179954
NBA,75,0,2060,storm,1017.348462,0.244193662,0.00024003,-1017.104268,214.4664538,-802.6378145
CCA,100,0,2060,storm,1153.096384,0.687322136,0.000596067,-1152.409062,0,-1152.409062
NBA,100,0,2060,storm,1017.348462,0.183145246,0.000180022,-1017.165317,214.4664538,-802.6988629
CCA,200,0,2060,storm,1153.096384,0.343661068,0.000298033,-1152.752723,0,-1152.752723
NBA,200,0,2060,storm,1017.348462,0.091572623,9.00111E-05,-1017.256889,214.4664538,-802.7904356
CCA,20,0,2100,storm,1153.096384,15.6398841,0.01356338,-1137.4565,0,-1137.4565
NBA,20,0,2100,storm,1017.348462,5.207002997,0.00511821,-1012.141459,214.4664538,-797.6750052
CCA,50,0,2100,storm,1153.096384,6.255953638,0.005425352,-1146.84043,0,-1146.84043
NBA,50,0,2100,storm,1017.348462,2.082801199,0.002047284,-1015.265661,214.4664538,-800.799207
CCA,75,0,2100,storm,1153.096384,4.170635759,0.003616901,-1148.925748,0,-1148.925748
NBA,75,0,2100,storm,1017.348462,1.388534133,0.001364856,-1015.959928,214.4664538,-801.493474
CCA,100,0,2100,storm,1153.096384,3.127976819,0.002712676,-1149.968407,0,-1149.968407
NBA,100,0,2100,storm,1017.348462,1.041400599,0.001023642,-1016.307061,214.4664538,-801.8406076
CCA,200,0,2100,storm,1153.096384,1.56398841,0.001356338,-1151.532396,0,-1151.532396
NBA,200,0,2100,storm,1017.348462,0.5207003,0.000511821,-1016.827762,214.4664538,-802.3613079
CCA,20,0,Current,storm,1153.096384,0.029072983,2.5213E-05,-1153.067311,0,-1153.067311
