type,storm,discount,climate,hazard,cost,benefit,ratio,net,ecosystem,net_ecosystem
CCA,100,0,2030,wave,1153.096384,206.800206,0.1793433826,-946.296178,0,-946.296178
NBA,100,0,2030,erosion,1017.348462,352.6351841,0.3466218284,-664.7132779,214.4664538,-450.2468241
CCA,100,0,2030,erosion,1153.096384,431.1629554,0.3739175331,-721.9334286,0,-721.9334286
NBA,100,0,2030,total,1017.348462,546.4466939,0.5371283433,-470.9017681,214.4664538,-256.4353142
CCA,100,0,2030,total,1153.096384,639.2893733,0.5544110468,-513.8070107,0,-513.8070107
NBA,100,0,2060,tide,1017.348462,0.055159153,0.0000542185,-1017.293303,214.4664538,-802.826849
CCA,100,0,2060,tide,1153.096384,0.068561308,0.0000594584,-1153.027823,0,-1153.027823
NBA,100,0,2060,storm,1017.348462,0.282803108,0.0002779806,-1017.065659,214.4664538,-802.5992051
CCA,100,0,2060,storm,1153.096384,1.119594456,0.0009709461,-1151.97679,0,-1151.97679
NBA,100,0,2060,wave,1017.348462,193.4536104,0.1901547185,-823.8948516,214.4664538,-609.4283977
CCA,100,0,2060,wave,1153.096384,207.6301741,0.1800631560,-945.4662099,0,-945.4662099
NBA,100,0,2060,erosion,1017.348462,23.50901227,0.0231081219,-993.8394497,214.4664538,-779.3729959
CCA,100,0,2060,erosion,1153.096384,28.74419702,0.0249278355,-1124.352187,0,-1124.352187
NBA,100,0,2060,total,1017.348462,217.300585,0.2135950395,-800.047877,214.4664538,-585.5814232
CCA,100,0,2060,total,1153.096384,237.5625269,0.2060213961,-915.5338571,0,-915.5338571
NBA,100,0,2100,tide,1017.348462,0.055159153,0.0000542185,-1017.293303,214.4664538,-802.826849
CCA,100,0,2100,tide,1153.096384,2055.283641,1.7824040293,902.187257,0,902.187257
NBA,100,0,2100,storm,1017.348462,28.25562682,0.0277737942,-989.0928352,214.4664538,-774.6263814
CCA,100,0,2100,storm,1153.096384,90.91984035,0.0788484307,-1062.176544,0,-1062.176544
NBA,100,0,2100,wave,1017.348462,1726.206194,1.6967698470,708.8577322,214.4664538,923.324186
CCA,100,0,2100,wave,1153.096384,1825.412181,1.5830525585,672.3157969,0,672.3157969
NBA,100,0,2100,erosion,1017.348462,1290.901568,1.2688883070,273.5531055,214.4664538,488.0195594
CCA,100,0,2100,erosion,1153.096384,1550.213579,1.3443920215,397.1171947,0,397.1171947
NBA,100,0,2100,total,1017.348462,4718.214698,4.6377567514,3700.866236,214.4664538,3915.33269
CCA,100,0,2100,total,1153.096384,5521.829241,4.7886970400,4368.732857,0,4368.732857
NBA,200,0,Current,tide,1017.348462,0.000520369,0.0000005115,-1017.347942,214.4664538,-802.8814878
CCA,200,0,Current,tide,1153.096384,0.000646805,0.0000005609,-1153.095737,0,-1153.095737
NBA,200,0,Current,storm,1017.348462,0.009916401,0.0000097473,-1017.338546,214.4664538,-802.8720918
CCA,200,0,Current,storm,1153.096384,0.010629438,0.0000092182,-1153.085755,0,-1153.085755
NBA,200,0,Current,wave,1017.348462,8.152712742,0.0080136876,-1009.195749,214.4664538,-794.7292954
CCA,200,0,Current,wave,1153.096384,8.987091329,0.0077938770,-1144.109293,0,-1144.109293
NBA,200,0,Current,erosion,1017.348462,23.50901227,0.0231081219,-993.8394497,214.4664538,-779.3729959
CCA,200,0,Current,erosion,1153.096384,28.74419702,0.0249278355,-1124.352187,0,-1124.352187
NBA,200,0,Current,total,1017.348462,31.67216178,0.0311320683,-985.6763002,214.4664538,-771.2098464
CCA,200,0,Current,total,1153.096384,37.74256459,0.0327314916,-1115.353819,0,-1115.353819
NBA,200,0,2030,tide,1017.348462,0.062444324,0.0000613795,-1017.286018,214.4664538,-802.8195639
CCA,200,0,2030,tide,1153.096384,0.077616575,0.0000673114,-1153.018767,0,-1153.018767
NBA,200,0,2030,storm,1017.348462,0.144936954,0.0001424654,-1017.203525,214.4664538,-802.7370712
CCA,200,0,2030,storm,1153.096384,0.624297705,0.0005414098,-1152.472086,0,-1152.472086
NBA,200,0,2030,wave,1017.348462,96.72959582,0.0950801023,-920.6188662,214.4664538,-706.1524124
CCA,200,0,2030,wave,1153.096384,103.400103,0.0896716913,-1049.696281,0,-1049.696281
NBA,200,0,2030,erosion,1017.348462,352.6351841,0.3466218284,-664.7132779,214.4664538,-450.2468241
CCA,200,0,2030,erosion,1153.096384,431.1629554,0.3739175331,-721.9334286,0,-721.9334286
NBA,200,0,2030,total,1017.348462,449.5721612,0.4419057756,-567.7763008,214.4664538,-353.309847
CCA,200,0,2030,total,1153.096384,535.2649726,0.4641979457,-617.8314114,0,-617.8314114
NBA,200,0,2060,tide,1017.348462,0.055159153,0.0000542185,-1017.293303,214.4664538,-802.826849
CCA,200,0,2060,tide,1153.096384,0.068561308,0.0000594584,-1153.027823,0,-1153.027823
NBA,200,0,2060,storm,1017.348462,0.141401554,0.0001389903,-1017.20706,214.4664538,-802.7406066
CCA,200,0,2060,storm,1153.096384,0.559797228,0.0004854731,-1152.536587,0,-1152.536587
NBA,200,0,2060,wave,1017.348462,96.72680522,0.0950773593,-920.6216568,214.4664538,-706.155203
CCA,200,0,2060,wave,1153.096384,103.8150871,0.0900315780,-1049.281297,0,-1049.281297
NBA,200,0,2060,erosion,1017.348462,23.50901227,0.0231081219,-993.8394497,214.4664538,-779.3729959
CCA,200,0,2060,erosion,1153.096384,28.74419702,0.0249278355,-1124.352187,0,-1124.352187
NBA,200,0,2060,total,1017.348462,120.4323782,0.1183786900,-896.9160838,214.4664538,-682.44963
CCA,200,0,2060,total,1153.096384,133.1876426,0.1155043451,-1019.908741,0,-1019.908741
NBA,200,0,2100,tide,1017.348462,0.055159153,0.0000542185,-1017.293303,214.4664538,-802.826849
CCA,200,0,2100,tide,1153.096384,2055.283641,1.7824040293,902.187257,0,902.187257
NBA,200,0,2100,storm,1017.348462,14.12781341,0.0138868971,-1003.220649,214.4664538,-788.7541948
CCA,200,0,2100,storm,1153.096384,45.45992017,0.0394242154,-1107.636464,0,-1107.636464
NBA,200,0,2100,wave,1017.348462,863.1030971,0.8483849235,-154.2453649,214.4664538,60.22108893
CCA,200,0,2100,wave,1153.096384,912.7060904,0.7915262792,-240.3902936,0,-240.3902936
NBA,200,0,2100,erosion,1017.348462,1290.901568,1.2688883070,273.5531055,214.4664538,488.0195594
CCA,200,0,2100,erosion,1153.096384,1550.213579,1.3443920215,397.1171947,0,397.1171947
NBA,200,0,2100,total,1017.348462,3840.983788,3.7754849308,2823.635326,214.4664538,3038.10178
CCA,200,0,2100,total,1153.096384,4563.66323,3.9577465454,3410.566846,0,3410.566846
NBA,20,1,Current,tide,1017.348462,0.000515217,0.0000005064,-1017.347947,138.7823336,-878.5656132
CCA,20,1,Current,tide,1153.096384,0.000640401,0.0000005554,-1153.095744,0,-1153.095744
NBA,20,1,Current,storm,1017.348462,0.098644105,0.0000969620,-1017.249818,138.7823336,-878.4674843
CCA,20,1,Current,storm,1153.096384,0.105529809,0.0000915186,-1152.990854,0,-1152.990854
NBA,20,1,Current,wave,1017.348462,81.10960103,0.0797264694,-936.238861,138.7823336,-797.4565274
CCA,20,1,Current,wave,1153.096384,89.41208302,0.0775408580,-1063.684301,0,-1063.684301
NBA,20,1,Current,erosion,1017.348462,23.27624977,0.0228793286,-994.0722122,138.7823336,-855.2898786
CCA,20,1,Current,erosion,1153.096384,28.45960101,0.0246810253,-1124.636783,0,-1124.636783
NBA,20,1,Current,total,1017.348462,104.4850101,0.1027032664,-912.8634519,138.7823336,-774.0811183
CCA,20,1,Current,total,1153.096384,117.9778542,0.1023139573,-1035.11853,0,-1035.11853
NBA,20,1,2030,tide,1017.348462,0.056379987,0.0000554186,-1017.292082,138.7823336,-878.5097484
CCA,20,1,2030,tide,1153.096384,0.070078772,0.0000607744,-1153.026305,0,-1153.026305
NBA,20,1,2030,storm,1017.348462,1.328156053,0.0013055075,-1016.020306,138.7823336,-877.2379723
CCA,20,1,2030,storm,1153.096384,5.64886359,0.0048988651,-1147.44752,0,-1147.44752
NBA,20,1,2030,wave,1017.348462,889.843044,0.8746688841,-127.505418,138.7823336,11.27691557
CCA,20,1,2030,wave,1153.096384,951.817712,0.8254450584,-201.278672,0,-201.278672
NBA,20,1,2030,erosion,1017.348462,325.9536898,0.3203953237,-691.3947722,138.7823336,-552.6124386
CCA,20,1,2030,erosion,1153.096384,398.5398013,0.3456257489,-754.5565827,0,-754.5565827
NBA,20,1,2030,total,1017.348462,1217.18127,1.1964251338,199.8328078,138.7823336,338.6151414
CCA,20,1,2030,total,1153.096384,1356.076456,1.1760304468,202.9800717,0,202.9800717
NBA,20,1,2060,tide,1017.348462,0.050238473,0.0000493818,-1017.298224,138.7823336,-878.5158899
CCA,20,1,2060,tide,1153.096384,0.062445039,0.0000541542,-1153.033939,0,-1153.033939
NBA,20,1,2060,storm,1017.348462,1.312080337,0.0012897059,-1016.036382,138.7823336,-877.2540481
CCA,20,1,2060,storm,1153.096384,5.113669511,0.0044347286,-1147.982714,0,-1147.982714
NBA,20,1,2060,wave,1017.348462,901.4007784,0.8860295288,-115.9476836,138.7823336,22.83465001
CCA,20,1,2060,wave,1153.096384,968.1250417,0.8395872670,-184.9713423,0,-184.9713423
NBA,20,1,2060,erosion,1017.348462,48.49515676,0.0476681870,-968.8533052,138.7823336,-830.0709716
CCA,20,1,2060,erosion,1153.096384,59.29446651,0.0514219517,-1093.801917,0,-1093.801917
NBA,20,1,2060,total,1017.348462,951.258254,0.9350368035,-66.09020802,138.7823336,72.69212559
CCA,20,1,2060,total,1153.096384,1032.595623,0.8954981015,-120.5007613,0,-120.5007613
NBA,20,1,2100,tide,1017.348462,0.050238473,0.0000493818,-1017.298224,138.7823336,-878.5158899
CCA,20,1,2100,tide,1153.096384,999.6081833,0.8668903980,-153.4882007,0,-153.4882007
NBA,20,1,2100,storm,1017.348462,73.93446234,0.0726736857,-943.4139997,138.7823336,-804.631666
CCA,20,1,2100,storm,1153.096384,242.0282194,0.2098941795,-911.0681646,0,-911.0681646
NBA,20,1,2100,wave,1017.348462,5426.560119,5.3340230229,4409.211657,138.7823336,4547.99399
CCA,20,1,2100,wave,1153.096384,5736.327643,4.9747165304,4583.231259,0,4583.231259
NBA,20,1,2100,erosion,1017.348462,806.2251334,0.7924768784,-211.1233286,138.7823336,-72.34099502
CCA,20,1,2100,erosion,1153.096384,970.2638207,0.8414420808,-182.8325633,0,-182.8325633
NBA,20,1,2100,total,1017.348462,7120.732021,6.9993048467,6103.383559,138.7823336,6242.165892
CCA,20,1,2100,total,1153.096384,7948.227866,6.8929431888,6795.131482,0,6795.131482
NBA,50,1,Current,tide,1017.348462,0.000515217,0.0000005064,-1017.347947,138.7823336,-878.5656132
CCA,50,1,Current,tide,1153.096384,0.000640401,0.0000005554,-1153.095744,0,-1153.095744
NBA,50,1,Current,storm,1017.348462,0.039457642,0.0000387848,-1017.309004,138.7823336,-878.5266707
CCA,50,1,Current,storm,1153.096384,0.042211924,0.0000366075,-1153.054172,0,-1153.054172
NBA,50,1,Current,wave,1017.348462,32.44384041,0.0318905878,-984.9046216,138.7823336,-846.122288
CCA,50,1,Current,wave,1153.096384,35.76483321,0.0310163432,-1117.331551,0,-1117.331551
NBA,50,1,Current,erosion,1017.348462,23.27624977,0.0228793286,-994.0722122,138.7823336,-855.2898786
CCA,50,1,Current,erosion,1153.096384,28.45960101,0.0246810253,-1124.636783,0,-1124.636783
NBA,50,1,Current,total,1017.348462,55.76006304,0.0548092076,-961.588399,138.7823336,-822.8060653
CCA,50,1,Current,total,1153.096384,64.26728655,0.0557345313,-1088.829097,0,-1088.829097
NBA,50,1,2030,tide,1017.348462,0.056379987,0.0000554186,-1017.292082,138.7823336,-878.5097484
CCA,50,1,2030,tide,1153.096384,0.070078772,0.0000607744,-1153.026305,0,-1153.026305
NBA,50,1,2030,storm,1017.348462,0.531262421,0.0005222030,-1016.8172,138.7823336,-878.034866
CCA,50,1,2030,storm,1153.096384,2.259545436,0.0019595460,-1150.836839,0,-1150.836839
NBA,50,1,2030,wave,1017.348462,355.9372176,0.3498675536,-661.4112444,138.7823336,-522.6289108
CCA,50,1,2030,wave,1153.096384,380.7270848,0.3301780234,-772.3692992,0,-772.3692992
NBA,50,1,2030,erosion,1017.348462,325.9536898,0.3203953237,-691.3947722,138.7823336,-552.6124386
CCA,50,1,2030,erosion,1153.096384,398.5398013,0.3456257489,-754.5565827,0,-754.5565827
NBA,50,1,2030,total,1017.348462,682.4785498,0.6708404989,-334.8699122,138.7823336,-196.0875786
CCA,50,1,2030,total,1153.096384,781.5965103,0.6778240927,-371.4998737,0,-371.4998737
NBA,50,1,2060,tide,1017.348462,0.050238473,0.0000493818,-1017.298224,138.7823336,-878.5158899
CCA,50,1,2060,tide,1153.096384,0.062445039,0.0000541542,-1153.033939,0,-1153.033939
NBA,50,1,2060,storm,1017.348462,0.524832135,0.0005158824,-1016.82363,138.7823336,-878.0412963
CCA,50,1,2060,storm,1153.096384,2.045467804,0.0017738914,-1151.050916,0,-1151.050916
NBA,50,1,2060,wave,1017.348462,360.5603114,0.3544118115,-656.7881506,138.7823336,-518.005817
CCA,50,1,2060,wave,1153.096384,387.2500167,0.3358349068,-765.8463673,0,-765.8463673
NBA,50,1,2060,erosion,1017.348462,48.49515676,0.0476681870,-968.8533052,138.7823336,-830.0709716
CCA,50,1,2060,erosion,1153.096384,59.29446651,0.0514219517,-1093.801917,0,-1093.801917
NBA,50,1,2060,total,1017.348462,409.6305387,0.4026452627,-607.7179233,138.7823336,-468.9355897
CCA,50,1,2060,total,1153.096384,448.652396,0.3890849041,-704.443988,0,-704.443988
NBA,50,1,2100,tide,1017.348462,0.050238473,0.0000493818,-1017.298224,138.7823336,-878.5158899
CCA,50,1,2100,tide,1153.096384,999.6081833,0.8668903980,-153.4882007,0,-153.4882007
NBA,50,1,2100,storm,1017.348462,29.57378494,0.0290694743,-987.7746771,138.7823336,-848.9923435
CCA,50,1,2100,storm,1153.096384,96.81128777,0.0839576718,-1056.285096,0,-1056.285096
